epoch,batch_loss,batch_acc,val_loss,val_acc
1,0.8073351979255676,0.3697916567325592,1.0005877017974854,0.32499998807907104
2,0.7961011528968811,0.3645833432674408,0.9728867411613464,0.3499999940395355
3,0.7947261929512024,0.3645833432674408,0.9466724395751953,0.3499999940395355
4,0.771588146686554,0.3854166567325592,0.9218837022781372,0.375
5,0.7704182267189026,0.375,0.8988350033760071,0.375
6,0.7683661580085754,0.3802083432674408,0.8761078119277954,0.42500001192092896
7,0.7611141204833984,0.3645833432674408,0.8537393808364868,0.44999998807907104
8,0.7489587664604187,0.4010416567325592,0.8308811187744141,0.4749999940395355
9,0.7449548840522766,0.3854166567325592,0.8083114624023438,0.4749999940395355
10,0.7432129979133606,0.40625,0.786794900894165,0.5
11,0.7254059910774231,0.4375,0.7660225629806519,0.5
12,0.7179873585700989,0.4270833432674408,0.7465364933013916,0.5249999761581421
13,0.7227385640144348,0.421875,0.7274224758148193,0.550000011920929
14,0.7098721861839294,0.4322916567325592,0.7081217765808105,0.550000011920929
15,0.6964950561523438,0.4427083432674408,0.6902662515640259,0.574999988079071
16,0.6966460347175598,0.4375,0.6728928685188293,0.6000000238418579
17,0.6945956349372864,0.4375,0.6565709114074707,0.6000000238418579
18,0.6779155731201172,0.453125,0.6404238939285278,0.6000000238418579
19,0.6858506798744202,0.4427083432674408,0.6249116659164429,0.6000000238418579
20,0.6781025528907776,0.4427083432674408,0.6098527908325195,0.6000000238418579
21,0.6747015118598938,0.4427083432674408,0.5952919721603394,0.625
22,0.6720502376556396,0.4322916567325592,0.5809119939804077,0.625
23,0.662021815776825,0.4270833432674408,0.5677931308746338,0.625
24,0.6602622270584106,0.46875,0.5555629730224609,0.6499999761581421
25,0.6471496224403381,0.4739583432674408,0.544260561466217,0.6499999761581421
26,0.6409581303596497,0.484375,0.533758819103241,0.6499999761581421
27,0.6410150527954102,0.5260416865348816,0.5228273272514343,0.6499999761581421
28,0.6325514316558838,0.5208333134651184,0.5126803517341614,0.675000011920929
29,0.6349452137947083,0.5416666865348816,0.5025979280471802,0.699999988079071
30,0.6243873238563538,0.5885416865348816,0.49327725172042847,0.699999988079071
31,0.6204420924186707,0.6041666865348816,0.4837091863155365,0.699999988079071
32,0.6157708168029785,0.6197916865348816,0.47478365898132324,0.75
33,0.6179144978523254,0.609375,0.4668506681919098,0.800000011920929
34,0.6012746095657349,0.6458333134651184,0.45855721831321716,0.8500000238418579
35,0.6086199879646301,0.65625,0.4501456618309021,0.8999999761581421
36,0.6025183200836182,0.65625,0.4420636296272278,0.8999999761581421
37,0.5993771553039551,0.6822916865348816,0.4343649744987488,0.925000011920929
38,0.5920591950416565,0.6979166865348816,0.4271671175956726,0.925000011920929
39,0.5903878808021545,0.7291666865348816,0.42003336548805237,0.949999988079071
40,0.583582878112793,0.75,0.41303086280822754,0.949999988079071
41,0.5750125050544739,0.7552083134651184,0.4069884419441223,0.949999988079071
42,0.5804848074913025,0.75,0.40040403604507446,0.949999988079071
43,0.566275417804718,0.7864583134651184,0.39437782764434814,1.0
44,0.5731493830680847,0.7916666865348816,0.38801008462905884,1.0
45,0.5653991103172302,0.8229166865348816,0.3819824159145355,1.0
46,0.5603200793266296,0.8177083134651184,0.37635013461112976,1.0
47,0.554082453250885,0.8229166865348816,0.37079450488090515,1.0
48,0.5552411079406738,0.8333333134651184,0.3652210831642151,1.0
49,0.5489876866340637,0.84375,0.35992735624313354,1.0
50,0.5446242690086365,0.8333333134651184,0.35452136397361755,1.0
51,0.5428735613822937,0.84375,0.34921595454216003,1.0
52,0.5459678769111633,0.8489583134651184,0.34430283308029175,1.0
53,0.5402384996414185,0.8541666865348816,0.33964094519615173,1.0
54,0.5307513475418091,0.859375,0.33516770601272583,1.0
55,0.5240780711174011,0.8697916865348816,0.33093172311782837,1.0
56,0.5258047580718994,0.859375,0.32672831416130066,1.0
57,0.5208490490913391,0.859375,0.3225228190422058,1.0
58,0.5239174365997314,0.875,0.3182375133037567,1.0
59,0.5024935603141785,0.8645833134651184,0.3145962953567505,1.0
60,0.5137138366699219,0.875,0.3108642101287842,1.0
61,0.5079811811447144,0.8802083134651184,0.3073071241378784,1.0
62,0.5086488127708435,0.8854166865348816,0.3035747706890106,1.0
63,0.5057750344276428,0.890625,0.29989951848983765,1.0
64,0.49449148774147034,0.90625,0.29651838541030884,1.0
65,0.48427364230155945,0.921875,0.2932470738887787,1.0
66,0.48084962368011475,0.9114583134651184,0.289416640996933,1.0
